graph_id,vertices,edges,prim_total,kruskal_total,prim_ms,kruskal_ms,prim_ops,kruskal_ops
1000,30,120,373.0,373.0,0.299,0.056,156,182
1001,30,135,317.0,317.0,0.125,0.049,179,239
1002,30,135,398.0,398.0,0.145,0.034,193,330
1003,30,180,308.0,308.0,0.129,0.036,230,281
1004,30,180,330.0,330.0,0.138,0.028,253,408
2000,300,1350,4398.0,4398.0,1.121,0.362,2108,4363
2001,300,900,5827.0,5827.0,0.780,0.619,1674,4489
2002,300,1350,3977.0,3977.0,0.940,0.327,2057,4118
2003,300,900,5450.0,5450.0,0.771,0.299,1599,3995
2004,300,1200,5119.0,5119.0,0.902,0.268,2025,4769
2005,300,900,5795.0,5795.0,0.729,0.258,1637,4281
2006,300,1200,4361.0,4361.0,1.043,0.372,2365,6838
2007,300,900,5994.0,5994.0,0.799,0.290,1772,5042
2008,300,1050,5336.0,5336.0,0.879,0.293,1919,5076
2009,300,900,6083.0,6083.0,0.779,0.279,1732,4808
3000,1000,3000,20573.0,20573.0,3.070,0.914,5929,17119
3001,1000,3000,21404.0,21404.0,2.598,0.833,5738,16017
3002,1000,3000,21240.0,21240.0,2.453,0.884,5935,17046
3003,1000,3000,19708.0,19708.0,2.081,0.740,5517,14506
3004,1000,3000,20517.0,20517.0,1.485,0.787,5906,16855
3005,1000,3000,20415.0,20415.0,1.241,0.722,5578,14903
3006,1000,3000,20257.0,20257.0,1.407,0.749,5627,15234
3007,1000,3000,20022.0,20022.0,1.277,0.814,5794,16128
3008,1000,3000,19193.0,19193.0,1.212,0.657,5660,15449
3009,1000,3000,19313.0,19313.0,1.401,0.652,5869,16626
4000,1300,3900,27445.0,27445.0,1.654,0.973,7522,21004
4001,1600,4800,33803.0,33803.0,2.093,1.298,9131,25003
4002,2000,6000,41658.0,41658.0,2.628,1.289,11961,34701
